status,type,N1,N2,N3,C1,C2,C3,C4,time,X,X0,X1,X2,X3,X4,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Approved,1,-1.453139293,-0.069273642,1.047101628,25000,100000,75000,,8/30/2019 12:18,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-2.08213042,-1.486349667,100000,250000,150000,,7/3/2019 16:16,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-0.069273642,-0.878321356,20000,100000,80000,,9/30/2019 23:00,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-0.513670593,0.135059162,72000,143000,71000,,8/2/2019 9:19,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Approved,2,-1.453139293,-0.853503556,0.439073318,0,1,1,,10/29/2019 21:27,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-1.167195521,-0.371631097,0,100000,100000,,9/12/2019 7:46,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,0.4535463,0.945763577,0,50000,50000,,9/26/2019 18:03,pending,H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-0.72279857,2.161820198,0,72000,72000,,10/2/2019 12:54,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,2,-1.453139293,0.192136329,-0.979659408,0,1,1,,10/9/2019 7:08,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-1.637733469,-1.385011615,32000,128000,96000,,8/27/2019 19:35,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-0.984208541,-0.574307201,0,100000,100000,,9/23/2019 9:44,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,0.4535463,1.14843968,390000,468000,78000,,10/2/2019 16:37,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-1.167195521,-1.08099746,0,220000,220000,,10/8/2019 23:11,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-1.114913527,0.439073318,200000,500000,300000,,8/27/2019 14:18,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-0.90578555,-0.472969149,10000,300000,290000,,10/2/2019 14:28,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,0.924084248,-0.472969149,0,200000,200000,,7/25/2019 15:21,pending,H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-0.330683613,1.047101628,197000,295000,98000,,7/17/2019 13:19,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,0.192136329,-0.168954993,92000,153000,61000,,7/24/2019 10:44,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,2,-1.453139293,-1.402464495,2.364496302,0,1,1,,11/1/2019 9:46,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,3,-1.453139293,-1.402464495,2.364496302,0,1,1,,11/1/2019 9:46,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-0.330683613,0.03372111,30000,200000,170000,,10/15/2019 17:00,pending,H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Approved,1,-1.453139293,-1.114913527,-0.371631097,50000,100000,50000,,10/23/2019 12:05,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-1.245618512,-0.168954993,195000,520000,325000,,7/31/2019 14:23,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-1.585451475,-0.776983304,51000,102000,51000,,7/14/2019 16:17,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-1.114913527,-0.776983304,50000,500000,450000,,6/20/2019 9:48,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Approved,2,-1.453139293,-0.958067544,1.959144095,0,1,1,,9/27/2019 20:06,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,0.4535463,1.14843968,390000,468000,78000,,10/2/2019 16:37,approved,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,-0.592093585,0.439073318,0,1,1,,9/19/2019 13:56,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.199392254,-0.827362559,0.337735266,0,1,1,,11/1/2019 16:52,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,3,-1.199392254,-1.219477515,1.857806043,0,1,1,,10/29/2019 6:07,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
